Name,CreatedDate,Contribution
Person5,2023-01-16,76
Person8,2023-01-26,4
Person4,2023-01-15,82
Person5,2023-01-18,30
Person5,2023-01-10,15
Person6,2023-01-19,43
Person4,2023-01-25,19
Person4,2023-01-07,12
Person5,2023-01-24,16
Person10,2023-01-21,72
Person9,2023-01-26,0
Person6,2023-01-12,7
Person8,2023-01-15,51
Person5,2023-01-10,58
Person9,2023-01-09,77
Person3,2023-01-07,8
Person8,2023-01-23,66
Person1,2023-01-27,99
Person2,2023-01-08,66
Person8,2023-01-18,68
Person4,2023-01-16,96
Person5,2023-01-03,45
Person3,2023-01-03,23
Person10,2023-01-30,12
Person5,2023-01-02,21
Person4,2023-01-18,65
Person6,2023-01-30,75
Person9,2023-01-29,38
Person2,2023-01-13,40
Person10,2023-01-22,37
Person6,2023-01-20,90
Person8,2023-01-26,20
Person6,2023-01-13,7
Person2,2023-01-06,36
Person1,2023-01-23,16
Person8,2023-01-06,48
Person1,2023-01-04,45
Person9,2023-01-06,13
Person4,2023-01-24,66
Person5,2023-01-24,48
Person3,2023-01-12,97
Person4,2023-01-04,78
Person7,2023-01-20,8
Person5,2023-01-21,66
Person3,2023-01-01,74
Person3,2023-01-01,25
Person8,2023-01-11,96
Person9,2023-01-30,17
Person2,2023-01-05,73
Person4,2023-01-16,54
Person5,2023-01-26,58
Person5,2023-01-01,42
Person4,2023-01-19,63
Person6,2023-01-07,79
Person1,2023-01-26,41
Person7,2023-01-22,42
Person4,2023-01-30,37
Person4,2023-01-19,89
Person10,2023-01-04,12
Person5,2023-01-09,96
Person6,2023-01-29,17
Person3,2023-01-05,89
Person8,2023-01-12,40
Person2,2023-01-06,38
Person7,2023-01-19,87
Person9,2023-01-03,34
Person8,2023-01-13,25
Person4,2023-01-10,11
Person10,2023-01-08,21
Person9,2023-01-10,18
Person2,2023-01-02,56
Person2,2023-01-12,70
Person10,2023-01-14,81
Person2,2023-01-08,43
Person9,2023-01-22,23
Person7,2023-01-28,54
Person7,2023-01-02,16
Person9,2023-01-16,57
Person7,2023-01-27,44
Person6,2023-01-04,32
Person1,2023-01-12,38
Person9,2023-01-26,99
Person9,2023-01-16,42
Person1,2023-01-04,87
Person9,2023-01-05,93
Person6,2023-01-23,97
Person7,2023-01-23,1
Person7,2023-01-30,93
Person7,2023-01-16,50
Person6,2023-01-01,76
Person2,2023-01-06,14
Person10,2023-01-11,32
Person3,2023-01-05,29
Person8,2023-01-13,66
Person8,2023-01-09,49
Person3,2023-01-13,100
Person9,2023-01-26,31
Person5,2023-01-18,96
Person4,2023-01-07,2
Person1,2023-01-12,57
Person6,2023-01-07,80
Person9,2023-01-28,81
Person4,2023-01-21,63
Person7,2023-01-30,31
Person6,2023-01-29,66
Person3,2023-01-26,84
Person1,2023-01-06,41
Person8,2023-01-03,48
Person8,2023-01-16,50
Person10,2023-01-14,14
Person10,2023-01-24,24
Person4,2023-01-13,17
Person2,2023-01-03,76
Person2,2023-01-15,52
Person9,2023-01-19,48
Person6,2023-01-21,4
Person7,2023-01-20,82
Person10,2023-01-28,0
Person3,2023-01-21,57
Person1,2023-01-25,45
Person6,2023-01-18,83
Person6,2023-01-23,48
Person7,2023-01-08,44
Person7,2023-01-18,53
Person5,2023-01-31,79
Person4,2023-01-18,4
Person10,2023-01-22,30
Person5,2023-01-15,55
Person2,2023-01-07,23
Person7,2023-01-09,7
Person7,2023-01-08,99
Person9,2023-01-17,99
Person8,2023-01-21,27
Person9,2023-01-08,22
Person8,2023-01-24,35
Person7,2023-01-05,36
Person7,2023-01-14,19
Person5,2023-01-25,9
Person4,2023-01-08,6
Person10,2023-01-13,96
Person4,2023-01-27,71
Person3,2023-01-07,45
Person9,2023-01-15,0
Person8,2023-01-08,27
Person2,2023-01-04,55
Person9,2023-01-24,57
Person1,2023-01-24,12
Person5,2023-01-03,78
Person7,2023-01-31,94
Person1,2023-01-20,94
Person8,2023-01-05,96
Person7,2023-01-13,4
Person7,2023-01-09,42
Person5,2023-01-31,57
Person9,2023-01-21,40
Person3,2023-01-18,63
Person6,2023-01-23,36
Person3,2023-01-20,82
Person1,2023-01-28,95
Person9,2023-01-02,40
Person3,2023-01-10,63
Person2,2023-01-27,46
Person8,2023-01-14,78
Person4,2023-01-02,39
Person1,2023-01-21,32
Person3,2023-01-26,31
Person7,2023-01-06,87
Person8,2023-01-28,55
Person1,2023-01-08,99
Person7,2023-01-09,16
Person5,2023-01-25,72
Person3,2023-01-29,83
Person3,2023-01-04,5
Person4,2023-01-12,44
Person6,2023-01-08,62
Person10,2023-01-26,34
Person6,2023-01-09,30
